AssumptionID,Category,Description,Confidence,FirstObserved,LastValidated,Status,SupportingEvidence,PhaseIDFirstObserved,Notes
TA-001,Shoulder,Neutral grip pressing is well tolerated by the right shoulder,High,2026-01-04,2026-07-31,Active,"Consistent across floor press, DB neutral press, and machine press across all phases",1,Fundamental finding that guides all pressing selection
TA-002,Shoulder,"Right anterior shoulder capsule awareness occurs during heavy pressing, especially floor press and machine press eccentric phase",High,2026-01-04,2026-07-31,Active,Noted in every phase during pressing; more prominent at heavier weights and during eccentric phase,1,Not pain but consistent tightness/awareness; worsens with fatigue
TA-003,Shoulder,Overhead pressing tolerance has progressively improved across phases,High,2026-03-01,2026-07-28,Active,Phase 3: cautious introduction; Phase 6: inverted KB holds; Phase 8: seated neutral grip DB OHP at 50 lbs,3,Progressed from zero overhead work to loaded overhead pressing
TA-004,Shoulder,Slight lean-back on cable pulldowns eliminates right anterior capsule awareness,High,2026-04-22,2026-07-31,Active,Consistent finding on single arm neutral grip cable pulldowns across Phases 5-8,5,10-15 degrees of lean back resolves the issue
TA-005,Shoulder,Overhead cable extensions seem to loosen the anterior capsule after chest pressing,Medium,2026-06-17,2026-07-28,Active,Noted in Phase 6 and Phase 7 that capsule feels better after overhead tricep work,6,May be a useful exercise sequencing insight
TA-006,Grip,"Grip endurance remains a limiting factor on carries, rows, and RDLs",High,2026-01-03,2026-07-31,Active,"Grip failure occurs before target muscle failure on farmer's walks, chest supported rows, and DB RDLs consistently",1,Primary training limitation alongside shoulder
TA-0087,Grip,Right grip tends to fail before left on farmer's walks and RDLs,High,2026-01-12,2026-07-31,Active,Right index finger rolls first; left pinky rolls first; different failure patterns,2,Asymmetric grip failure pattern
TA_008,Grip,Forearm lactic acid buildup precedes finger roll during grip failure,High,2026-01-16,2026-07-31,Active,Burning sensation in forearms consistently precedes weight rolling to fingertips,2,Suggests forearm endurance is the root cause rather than finger strength
TA-009,Movement Pattern,"Left bicep contraction is slightly weaker than right, especially under fatigue",High,2026-01-03,2026-07-31,Active,Left contraction fails first on curls; left squeeze less forceful; left resists supination more,1,Consistent across all curl variations
TA-010,Movement Pattern,"Left trap tends to engage compensatorily during lateral raises, pressing, and overhead movements",Medium,2026-01-04,2026-07-31,Active,"Left trap shrugging noted during lateral raises, DB press, and overhead press; self-corrected when noticed",1,Likely compensation pattern  
TA-011,Programming,Strict tempo enforcement produces better muscle connection than heavier weight with loose tempo,High,2026-07-31,2026-07-31,Active,Phase 6 spider curls at lower weight with strict 2-1-3 tempo produced better pump than heavier sets with loose tempo,6,Led to tempo re-emphasis in Phase 8 
TA-012,Recovery,Training on a significant caloric deficit severely impairs performance,High,2026-04-07,2026-04-07,Active,"Phase 5 Day 1 session with significant caloric deficit resulted in near-illness, carry failure, and early termination",5,Single event but dramatic enough to validate
TA-013,Movement Pattern,Body row grip slips from sweat accumulation during high-volume sessions,Medium,2026-01-03,2026-06-22,Active,Grip slipping on barbell during body rows when hands are sweaty from prior exercises,1,Addressed with paper towels; not a structural limitation
TA-014,Equipment,Planet Fitness cable machines may use approximately half the plate weight displayed,Medium,2026-05-13,2026-06-07,Active,Kneeling single arm rope extension: plate reads 40 but feels like 20 lbs; pattern noted across multiple exercises,6,Needs systematic verification; affects all PF cable weight logging 
TA-015,Shoulder,Cable external rotation: left has less ROM than right,Medium,2026-02-22,2026-02-22,Active,Noted during cable external rotation warmup in Phase 3,3,May be related to overall left-side compensation patterns
TA-016,Movement Pattern,"Nausea occurs during high-intensity compound movements, especially goblet squats and rowing finishers",Medium,2026-07-13,2026-07-13,Active,Phase 8 Day 3: nausea after goblet squat set 3; diarrhea after rowing finisher,8,Sneeze/puke sensation described; resolves with short rest
TA-017,Shoulder,Radial tilt on floor press reduces right anterior capsule awareness,Medium,2026-07-11,2026-07-28,Active,Shifting to slight radial tilt during neutral grip floor press felt better on capsule,8,Fine-tuning of pressing grip angle
TA-018,Shoulder,Superior humeral glide observed during single arm cable extensions; anchoring down resolves it,Medium,2026-05-28,2026-05-28,Active,Noted during Phase 6 single arm cable extensions,6,Corrected by consciously depressing humeral head
TA-019,Grip,Plate pinch grip: left hand tends to slip before right,Medium,2026-06-22,2026-07-03,Active,"During plate pinch holds at 50 lbs, left hand consistently loses grip first",7,Opposite pattern from farmer's walk (right fails first)
TA-020,Movement Pattern,Single arm overhead cable extension: left arm fatigues faster than right,High,2026-06-22,2026-07-31,Active,Left side consistently reaches failure 2-4 reps before right on overhead cable extensions,7,Matches left bicep weakness pattern; suggests left arm is generally weaker
TA-021,Shoulder,Cable fly ROM should be slightly shortened to manage right anterior capsule awareness,Medium,2026-07-06,2026-07-28,Active,Full cable fly extension triggers right anterior tightness; shortened ROM eliminates it,8,Effective self-management strategy
TA-022,Shoulder,High cable tricep pushdown: shoulders roll forward if ROM exceeds 90-100 degrees,Medium,2026-06-20,2026-07-03,Active,ROM creeping above 90-100 degrees causes shoulder roll-forward compensation,7,Keeping strict 90-100 degree ROM maintains proper form 
