Phase #,Phase Name,Start Date,End Date,Duration (Weeks),Sessions/Week,Phase Goal,Key Exercises/Movements,Primary Metrics Tracked,Secondary Metrics Tracked,Shoulder/Joint Notes,Grip Status,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Phase 1 - Foundation,2026-01-03,2026-01-07,1,4,Establish baseline movement patterns and load tolerance,"Test movements, find working weights, identify left-right asymmetries",Grip endurance baseline; Pull strength baseline; Push pattern safety screening,Bicep and tricep volume introduction,Post-surgical; anterior capsule tightness on right during pressing; manageable,Untrained for heavy carries; grip slipping under fatigue,Short introductory phase; only 4 sessions logged  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Phase 2 - Carries and Pull Focus,2026-01-12,2026-02-07,4,4,Build grip endurance and pulling strength with controlled pressing,Farmer's walks as primary carry; machine and body rows for pull; supine press machine and DB neutral press for push; cable tricep extensions; spider curls,Farmer's walk progression at 150 lbs; Machine row strength; Body row volume; Grip endurance improvement Bicep curl strength; Tricep isolation volume; Suitcase carry introduction,Farmer's walk progression at 150 lbs; Machine row strength; Body row volume; Grip endurance improvement Bicep curl strength; Tricep isolation volume; Suitcase carry introduction,Right capsule tightness manageable; some tightness noted on supine press at higher weights,Grip limiting factor on carries; right grip tends to fail first; finger roll pattern emerging,Introduced suitcase carries mid-phase; drop sets and rest-pause used on curls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Phase 3 - Lower Body Introduction and Pressing Progression,2026-02-08,2026-03-11,5,4,Introduce lower body training; progress pressing patterns; continue grip development,"Added DB RDL, Bulgarian split squat, walking lunges, calf raises; Smith machine bench press introduced; single arm cable press added; incline DB press added; rear delt cable fly added Lower body movement pattern establishment; ",Smith machine bench press tolerance; Pulling volume maintenance; Shoulder external rotation work,Lateral raise introduction; Pallof press for core; Side plank integration; Rowing capacity,Right anterior capsule awareness during pressing; external rotation ROM left less than right; overhead extension seems to help capsule,Grip improving on carries; farmer's walk at 150 lbs more consistent,"First phase with lower body work; shoulder warmup protocol formalized with band pull-aparts, serratus wall slides, external rotations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phase 4 - Consolidation,2026-03-18,2026-04-02,3,4,Consolidate movement patterns and progress loads across all patterns,Continued DB RDL progression; chest supported DB row as primary pull; single arm cable press for push; suitcase carries progressing; incline curl introduced,DB RDL load progression; Chest supported row volume; Suitcase carry at 75 lbs; Rowing capacity building Incline supinated curl introduction; Lateral raise progression; Rear delt cable fly volume,,Anterior capsule awareness continues during incline curls occasionally; slight awareness during pulldowns,Grip continuing to be limiting factor on rows and RDLs; suitcase carry at 65-75 lbs,Rowing added as regular capacity finisher; 2K row benchmark emerging ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Phase 5 - Volume and Strength Building,2026-04-07,2026-05-08,5,4,Increase training volume and push strength boundaries across all movements,DB neutral press as primary push; low incline DB press secondary; single arm DB balance press for stability; DB RDL at 150 lbs; Bulgarian split squat progression; chest supported row at 75 lbs,DB RDL strength at 150-160 lbs; Chest supported row at 75 lbs; DB press progression at 60 lbs per hand; Suitcase carry at 75 lbs; Farmer's hold at 150 lbs,Push-up reintroduction; Side plank progression; Rowing volume; Incline curl at 30 lbs,Right posterior capsule giving out feeling during DB press noted; anterior capsule and biceps tendon feeling; slight lean back on pulldowns helps,Grip improving; farmer's hold at 150 lbs reaching 60+ seconds consistently; suitcase carry at 75 lbs holding 60 seconds,Travel weeks with hotel gym adaptations; caloric deficit impacted one session severely; different gym equipment noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Phase 6 - Athletic Capacity Integration,2026-05-09,2026-06-07,5,4,Integrate athletic capacity work with strength training; introduce floor press and new pressing patterns,Neutral grip DB floor press introduced; single arm cable press split stance; cable lateral raise with elbow strap; kneeling single arm rope cable extension; inverted KB hold for shoulder stability; treadmill incline walking for capacity,Floor press strength building; Athletic capacity via treadmill intervals and rowing; Shoulder stability via inverted KB holds and scap extensions; Grip maintenance on carries,Standing single arm curl/extension supersets; Half-kneeling single arm cable row introduction; Chest supported rear delt fly; Suitcase carry at 75 lbs with incline,Right anterior capsule awareness during floor press and machine press; superior humeral glide noted during single arm extensions; overhead extension continues to help,Grip holding well; farmer's walk at 150 lbs with 1% incline; forearm fatigue preceding finger roll,Capacity finishers formalized: treadmill incline intervals and rowing; endless rope introduced; dead hang and scap pull-ups added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Phase 7 - Strength and Grip Specialization,2026-06-08,2026-07-03,4,4,Push strength limits on primary movements; specialize grip training; integrate lower body,Floor press overload at 150 lbs attempted; machine chest press progression; cable fly progression; plate-loaded seated row; plate pinch and dead hang for grip specialization; goblet squat introduction; DB RDL at 150 lbs,Floor press strength at 140-150 lbs; Machine row at 200-210 lbs; Grip specialization via plate pinch and dead hang; Goblet squat and walking lunge for lower body; Farmer's walk endurance at 150 lbs,High cable tricep pushdown introduction; Hammer curls with rope; Single arm overhead cable extension progression at 20-22.5 lbs; Cable fly with cuff attachment,Right anterior capsule awareness consistent during floor press and machine press; cable fly tight at extension; overhead extension helpful for capsule,Plate pinch at 50 lbs per hand (25 per hand bilateral); dead hang 45-60 seconds; farmer's walk best set 70+ seconds at 150 lbs,"Lower body now includes goblet squat, DB RDL, walking lunges, Bulgarian split squat, barbell calf raise; capacity via rowing intervals and endless rope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Phase 8 - Heavy Pull, Push Reintegration, and Hypertrophy",2026-07-05,2026-07-31,4,4,Progress heavy pulling; reintegrate pressing with shoulder awareness; build hypertrophy volume on arms,Machine row as primary heavy pull; single arm neutral grip cable pulldown; half-kneeling cable row low-to-high; floor press progression; machine chest press; cable high-to-mid fly; seated neutral grip DB overhead press; single arm overhead cable extension; high cable pushdown; alternate seated DB curl; single arm rope curl extended position,Machine row at 200-210 lbs; Floor press at 130-140 lbs with strict tempo; Overhead press reintroduction at 40-50 lbs; Goblet squat at 75-80 lbs; DB RDL at 150-170 lbs; Farmer's walk at 150-170 lbs,Face pull with external rotation; Farmer's hold at 150-200 lbs; Endless rope intervals; Rowing intervals; Dead hang maintenance,Right anterior capsule awareness persistent during floor press eccentric and machine press; radial/ulnar tilt adjustments help; overhead extension continues to loosen capsule; cable fly ROM shortened to manage awareness,"Farmer's hold attempted at 200 lbs (100 per hand); grip taxed heavily by combined carries, RDLs, and rows in same session; forearm lactic acid buildup is primary failure mechanism","Nausea during high-intensity compound movements noted (goblet squat, rowing); lower back fatigue from combined RDL and farmer carry volume; strict tempo re-emphasis (2-1-3); NXGen gym introduced with heavier DB selection ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
