SectionName,SectionOrder,PhaseID,ExerciseName,PRType,PRValue,PRUnit,PRDate,PreviousBest,PreviousBestDate,SetDetails,Notes,Col_Category,Col_Description,Col_Confidence,Col_Status,Col_Evidence,Col_WeekStart,Col_TotalSets,Col_PullSets,Col_PushSets,Col_LegSets,Col_BicepSets,Col_TricepSets,Col_CoreSets,Col_CarrySets,Col_CardioSets,Col_SessionCount,Col_AvgSetsPerWeek,Col_ProgramDay,Col_WorkoutName,Col_ExType,Col_PrescSets,Col_PrescRepMin,Col_PrescRepMax,Col_WasPerformed,Col_ActualSets,Col_ActualAvgReps,Col_SetCompliance,Col_RepInRange
PersonalRecords,1,2,Seated Single Arm DB Curl - Anchored,Heaviest Weight,45,lbs,46040,40,46040,5 reps @ 45 lbs Phase 2 peak; transitioned to other curl variations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,2,Supine Press Machine - Plate Loaded (Planet Fitness),Heaviest Weight,200,lbs,46056,180,46047,6 reps @ 200 lbs,Phase 2 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,3,Smith Machine Bench Press,Heaviest Weight,185,lbs,46069,175,46062,5 reps @ 185 lbs,Phase 3; transitioned away from Smith bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,3,Rowing (2K),Best Time,462,seconds,46066,464,46060,7:42 (462 sec) for 2K,Phase 3; 7 min 42 sec ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,3,Kneeling Cable Row,Heaviest Weight,150,lbs,46084,145,46043,11 reps @ 150 lbs,Phase 3 peak; transitioned to other row variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,4,Chest Supported DB Row (Spider),Heaviest Weight,75,lbs,46113,70,46101,7 reps @ 75 lbs per hand,Maintained through Phases 5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,4,Single-Arm Neutral Grip Cable Pulldown,Heaviest Weight,85,lbs,46113,80,46071,10 reps @ 170 lbs,Maintained through Phases 5-8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,5,Face Pull,Heaviest Weight,50,lbs,46126,47.5,46234,20 reps @ 50 lbs,Phases 5-8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,5,Low-Incline DB Press (15-30°),Heaviest Weight,80,lbs,46147,70,46130,10 reps @ 80 lbs total (40 per hand),Phase 5 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,5,Incline Dumbell Curl (Supinated,Heaviest Weight,40,lbs,46123,35,46123,6 reps @ 40 lbs per hand alternating,Phase 5 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,5,Bulgarian Split Squat,Heaviest Weight,50,lbs,46139,45,46233,8 reps @ 50 lbs total (25 per hand),Phase 5 peak load,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,5,Suitcase Carries,Longest Duration,75,seconds,46136,65,46101,75 sec @ 75 lbs per hand,Phase 5 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,5,Rope Push-Downs,Heaviest Weight,50,lbs,46132,45,46092,13 reps @ 50 lbs,Maintained through Phases 5-8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,6,Half-Kneeling Single Arm Cable Row,Heaviest Weight,67.5,lbs,46179,65,46172,11 reps @ 67.5 lbs,Phase 6 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,6,Anchored Single Arm Dumbbell Curl,Heaviest Weight,40,lbs,46151,35,46160,4 reps @ 40 lbs Test set; working weight remained at 35 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,6,DB Spider Curl (Hammer),Heaviest Weight,35,lbs,46180,15x70,46168,15 reps @ 80 lbs total (40 per hand),Phase 6 peak volume set,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,6,Farmer's Hold,Longest Duration,80,seconds,46180,70,46150,80 sec @ 150 lbs,Phase 6 peak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,7,Machine Row,Heaviest Weight,210,lbs,46195,207.5,46053,5.5 reps @ 210 lbs,Phase 7 peak; progressive build from 130 lbs in Phase 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,7,Neutral Grip Dumbbell Floor Press,Heaviest Weight,150,lbs,46203,140,46177,6.5 reps @ 150 lbs (75 per hand),Phase 7 overload attempt; primary pressing PR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,7,Plate Pinch,Longest Duration,84,seconds,46203,74,46202,84 sec @ 50 lbs total (25 per hand),Phase 7 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,7,Dead Hang,Longest Duration,61,seconds,46203,55,46195,61 sec bodyweight,Phase 7 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,7,Cable Fly (Standing),Heaviest Weight,32.5,lbs,46203,30,46196,12 reps @ 32.5 lbs per side,Phase 7 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,7,Machine Chest Press,Heaviest Weight,125,lbs,46203,120,46203,9 reps @ 125 lbs,Phase 7 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Seated Neutral Grip DB Overhead Pres,Heaviest Weight,50,lbs,46231,40,46226,12 reps @ 50 lbs total (25 per hand),Phase 8; OHP reintroduction success ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Dumbbell Romanian Deadlift,Heaviest Weight,170,lbs,46233,160,46145,8 reps @ 170 lbs (85 per hand),Phase 8; progressive from 110 in Phase 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Farmer's Walk,Longest Duration,75,seconds,46208,70,46202,75 sec @ 150 lbs at 2 mph 0.5% incline,Phase 8; consistent 150 lbs load ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Farmer's Walk,Heaviest Weight,170,lbs,46233,150,46034,55 sec @ 170 lbs (85 per hand),Phase 8 at NXGen gym with heavier DBs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Standing Calf Raise,Heaviest Weight,120,lbs,46233,110,46228,15 reps @ 120 lbs barbell,Phase 8 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Farmer's Hold,Heaviest Weight,200,lbs,46234,150,46038,49 sec @ 200 lbs (100 per hand),Phase 8 heavy hold attempt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Goblet Squat,Heaviest Weight,80,lbs,46233,75,46228,10 reps @ 80 lbs,Phase 8; introduced in Phase 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,High Cable Tricep Pushdown,Heaviest Weight,75,lbs,46228,70,46206,8 reps @ 75 lbs Phase 8 peak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PersonalRecords,1,8,Single-Arm Overhead Cable Extension,Heaviest Weight,27.5,lbs,46234,25,46231,10 reps @ 27.5 lbs,Phase 8 peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,1,,,,,,,,,Fundamental finding that guides all pressing selection,Shoulder,Neutral grip pressing is well tolerated by the right shoulder,High,Active,"Consistent across floor press, DB neutral press, and machine press across all phases",,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,1,,,,,,,,,Not pain but consistent tightness/awareness; worsens with fatigue,Shoulder,"Right anterior shoulder capsule awareness occurs during heavy pressing, especially floor press and machine press eccentric phase",High,Active,Noted in every phase during pressing; more prominent at heavier weights and during eccentric phase,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,1,,,,,,,,,Primary training limitation alongside shoulder,Grip,"Grip endurance remains a limiting factor on carries, rows, and RDLs",High,Active,"Grip failure occurs before target muscle failure on farmer's walks, chest supported rows, and DB RDLs consistently",,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,1,,,,,,,,,Consistent across all curl variations,Movement Pattern,"Left bicep contraction is slightly weaker than right, especially under fatigue",High,Active,Left contraction fails first on curls; left squeeze less forceful; left resists supination more,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,1,,,,,,,,,Likely compensation pattern  ,Movement Pattern,"Left trap tends to engage compensatorily during lateral raises, pressing, and overhead movements",Medium,Active,"Left trap shrugging noted during lateral raises, DB press, and overhead press; self-corrected when noticed",,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,1,,,,,,,,,Addressed with paper towels; not a structural limitation,Movement Pattern,Body row grip slips from sweat accumulation during high-volume sessions,Medium,Active,Grip slipping on barbell during body rows when hands are sweaty from prior exercises,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,2,,,,,,,,,Asymmetric grip failure pattern,Grip,Right grip tends to fail before left on farmer's walks and RDLs,High,Active,Right index finger rolls first; left pinky rolls first; different failure patterns,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,2,,,,,,,,,Suggests forearm endurance is the root cause rather than finger strength,Grip,Forearm lactic acid buildup precedes finger roll during grip failure,High,Active,Burning sensation in forearms consistently precedes weight rolling to fingertips,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,3,,,,,,,,,Progressed from zero overhead work to loaded overhead pressing,Shoulder,Overhead pressing tolerance has progressively improved across phases,High,Active,Phase 3: cautious introduction; Phase 6: inverted KB holds; Phase 8: seated neutral grip DB OHP at 50 lbs,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,3,,,,,,,,,May be related to overall left-side compensation patterns,Shoulder,Cable external rotation: left has less ROM than right,Medium,Active,Noted during cable external rotation warmup in Phase 3,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,5,,,,,,,,,10-15 degrees of lean back resolves the issue,Shoulder,Slight lean-back on cable pulldowns eliminates right anterior capsule awareness,High,Active,Consistent finding on single arm neutral grip cable pulldowns across Phases 5-8,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,5,,,,,,,,,Single event but dramatic enough to validate,Recovery,Training on a significant caloric deficit severely impairs performance,High,Active,"Phase 5 Day 1 session with significant caloric deficit resulted in near-illness, carry failure, and early termination",,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,6,,,,,,,,,Corrected by consciously depressing humeral head,Shoulder,Superior humeral glide observed during single arm cable extensions; anchoring down resolves it,Medium,Active,Noted during Phase 6 single arm cable extensions,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,6,,,,,,,,,Led to tempo re-emphasis in Phase 8 ,Programming,Strict tempo enforcement produces better muscle connection than heavier weight with loose tempo,High,Active,Phase 6 spider curls at lower weight with strict 2-1-3 tempo produced better pump than heavier sets with loose tempo,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,6,,,,,,,,,May be a useful exercise sequencing insight,Shoulder,Overhead cable extensions seem to loosen the anterior capsule after chest pressing,Medium,Active,Noted in Phase 6 and Phase 7 that capsule feels better after overhead tricep work,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,6,,,,,,,,,Needs systematic verification; affects all PF cable weight logging ,Equipment,Planet Fitness cable machines may use approximately half the plate weight displayed,Medium,Active,Kneeling single arm rope extension: plate reads 40 but feels like 20 lbs; pattern noted across multiple exercises,,,,,,,,,,,,,,,,,,,,,,,
